ДАТА;ТИП;СО СЧЁТА;НА СЧЁТ / НА КАТЕГОРИЮ;СУММА;ВАЛЮТА;СУММА 2;ВАЛЮТА 2;МЕТКИ;ЗАМЕТКИ
21.11.2021;Расход;Сбербанк Айкумiс;Необходимое (Еда);8700;KZT;8700;KZT;;
19.11.2021;Расход;Сбербанк Айкумiс;Необходимое (Еда);180;KZT;180;KZT;;
19.11.2021;Расход;Сбербанк Айкумiс;Автобус (Транспорт);160;KZT;160;KZT;;
17.11.2021;Расход;Сбербанк Айкумiс;Досуг;1000;KZT;1000;KZT;;Кино
17.11.2021;Расход;Сбербанк Айкумiс;Автобус (Транспорт);80;KZT;80;KZT;;
17.11.2021;Перевод;Сбербанк Айкумiс;Kaspi Медет;5000;KZT;5000;KZT;;
17.11.2021;Перевод;Сбербанк Айкумiс;Наличные Айкумiс;2000;KZT;2000;KZT;;
17.11.2021;Перевод;Сбербанк Айкумiс;Kaspi Айкумiс;10000;KZT;10000;KZT;;
16.11.2021;Расход;Сбербанк Айкумiс;Продукты;760;KZT;760;KZT;;Адине
13.11.2021;Расход;Сбербанк Айкумiс;Алкоголь (Досуг);1895;KZT;1895;KZT;;Пиво
12.11.2021;Перевод;Сбербанк Айкумiс;Наличные Айкумiс;1000;KZT;1000;KZT;;
08.11.2021;Расход;Сбербанк Айкумiс;Автобус (Транспорт);160;KZT;160;KZT;;
07.11.2021;Расход;Сбербанк Айкумiс;Необходимое (Еда);565;KZT;565;KZT;;Хлеб
04.11.2021;Расход;Сбербанк Айкумiс;Дом  (Покупки);3075;KZT;3075;KZT;;Посуда
01.11.2021;Расход;Сбербанк Айкумiс;Аптека (Здоровье);2175;KZT;2175;KZT;;
01.11.2021;Расход;Сбербанк Айкумiс;Продукты;510;KZT;510;KZT;;Береке
